date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20220130,DAL,108,ORL,110,0
20220130,UTA,106,MIN,126,0
20220130,SAS,110,PHO,115,0
20220131,NOP,90,CLE,93,0
20220131,LAC,116,IND,122,0
20220131,MEM,119,PHI,122,0
20220131,TOR,106,ATL,100,0
20220131,MIA,92,BOS,122,0
20220131,SAC,96,NYK,116,0
20220131,GSW,122,HOU,108,0
20220131,POR,81,OKC,98,0
20220201,NOP,111,DET,101,0
20220201,WAS,98,MIL,112,0
20220201,MIA,106,TOR,110,0
20220201,ORL,115,CHI,126,0
20220201,DEN,115,MIN,130,0
20220201,GSW,124,SAS,120,0
20220201,BRK,111,PHO,121,0
20220202,ORL,119,IND,118,0
20220202,WAS,106,PHI,103,0
20220202,CHO,107,BOS,113,0
20220202,MEM,120,NYK,108,0
20220202,CLE,104,HOU,115,0
20220202,OKC,120,DAL,114,0
20220202,BRK,101,SAC,112,0
